Description,Key,org
2624,640,16
2624,679,16
2624,1345,18
2624,1601,40
2624,1838,28
2624,2020,40
2624,2418,18
2624,2598,17.89361702
2624,3176,40
2624,3894,17.89361702
2624,3915,17.89361702
2624,4248,18
2624,4624,18
2624,4703,17.89361702
2624,4864,17.89361702
2624,5208,18
2624,6263,15
2624,6438,18
2624,6759,17.89361702
2624,6769,28
2624,7235,16
2624,7409,40
2624,7683,16
2624,7741,18
2624,7954,17.89361702
2624,8019,18
2624,8107,17.89361702
2624,8395,18
2624,8452,17.89361702
2624,8652,4.95
2624,9001,18
2624,9438,40
2624,10058,17.89361702
2624,10280,18
2624,10661,18
2624,10971,4.95
2624,11043,40
2624,11209,18
2624,11225,18
2624,11613,4.95
2624,11787,16
2624,11821,28
2624,11910,18
2624,12278,18
2624,12388,18
2624,12389,18
2624,13127,16
2624,13216,5
2624,13658,17.89361702
2624,14730,28
2624,15183,17.89361702
2624,15624,17.89361702
2624,16058,18
2624,16070,17.89361702
2624,16203,18
2624,16330,8142.75
2624,16393,18
2624,16396,10
2624,17068,16
2624,17331,18
2624,17366,18
2624,17502,28
2624,17594,18
2624,18102,17.89361702
2624,18240,18
2624,18468,18
2624,18726,18
2624,18767,18
2624,19202,18
2624,19283,16
2624,19588,18
2624,19722,18
2624,20050,18
2624,20146,4.95
2624,20337,36
2624,20355,1
2624,20464,18
2624,20561,40
2624,20981,18
2624,21079,18
2624,21918,15
2624,22051,15
2624,22468,17.89361702
2624,22502,28
2624,22613,28
2624,22659,17.89361702
2624,23341,16
2624,23635,18
2624,23647,18
2624,24564,17.89361702
2624,24586,5
2624,24729,18
2624,24856,28
2624,24978,18
2624,25259,18
2624,25684,18
2624,25749,40
2624,26097,15
2624,26119,17.89361702
2624,26478,17.89361702
2624,26782,15
2624,27220,18
2624,27233,5
2624,27837,18
2624,29649,17.89361702
2624,30187,17.89361702
2624,30393,18
2624,30507,16
2624,30547,18
2624,30869,17.89361702
2624,30916,18
2624,31030,18
2624,31194,4
2624,31443,16
2624,32583,18
2624,33258,18
2624,33277,200
2624,33642,18
2624,34082,18
2624,34095,18
2624,34233,40
2624,34502,18
2624,34558,18
2624,34908,40
2624,35476,40
2624,35485,18
2624,35584,28
2624,35596,18
2624,36552,18
2624,37292,16
2624,37859,17.89361702
2624,38084,18
2624,38133,15
2624,38361,40
2624,38518,40
2624,40001,262.73
2624,40027,40
2624,40691,2.02
2624,40837,40
2624,41300,28
2624,41527,18
2624,42308,40
2624,43428,40
2624,43520,27
2624,43554,28
2624,44274,28
2624,44345,18
2624,44783,18
2624,45387,28
2624,45638,18
2624,45695,40
2624,45850,16
2624,46028,16
2624,47245,18
2624,47756,18
2624,48101,18
2624,48875,18
2624,49032,17.89361702
2624,49082,18
2624,49405,18
